area,Average_Speed,Vehicle_Density,Hour_of_Day,Day_of_Week,Is_Peak_Hour,Weather_Condition
Hinjewadi,13.303941662887064,360.0,2,Wed,0,Foggy
Swargate,16.62992707860883,316.8,2,Wed,0,Foggy
University Circle,13.303941662887064,403.2,2,Wed,0,Foggy
Hadapsar,19.955912494330594,259.2,2,Wed,0,Foggy
Kothrud,23.28189791005236,216.0,2,Wed,0,Foggy
Hinjewadi,12.953153115075587,227.5,16,Mon,0,Clear
Swargate,16.19144139384448,200.20000000000002,16,Mon,1,Clear
University Circle,12.953153115075587,254.79999999999998,16,Mon,0,Clear
Hadapsar,19.429729672613377,163.8,16,Mon,0,Clear
Kothrud,22.66801795138227,136.5,16,Mon,0,Clear
Hinjewadi,38.115866001077556,495.0,10,Thu,1,Clear
Swargate,47.64483250134694,435.6,10,Thu,1,Clear
University Circle,38.115866001077556,554.4,10,Thu,1,Clear
Hadapsar,57.173799001616324,356.40000000000003,10,Thu,1,Clear
Kothrud,66.70276550188571,297.0,10,Thu,1,Clear
Hinjewadi,31.967968556958624,507.0,2,Fri,0,Foggy
Swargate,39.95996069619828,343.20000000000005,2,Fri,0,Foggy
University Circle,31.967968556958624,436.79999999999995,2,Fri,0,Foggy
Hadapsar,47.951952835437936,280.8,2,Fri,0,Foggy
Kothrud,55.94394497467759,234.0,2,Fri,0,Foggy
Hinjewadi,15.52297707342258,135.0,21,Tue,1,Rainy
Swargate,29.105582012667334,118.80000000000001,21,Tue,1,Rainy
University Circle,11.642232805066934,151.2,21,Tue,1,Rainy
Hadapsar,29.105582012667334,97.2,21,Tue,0,Rainy
Kothrud,47.53911728735664,81.0,21,Tue,1,Rainy
Hinjewadi,10.419361299736027,352.5,16,Thu,0,Foggy
Swargate,13.024201624670033,310.20000000000005,16,Thu,1,Foggy
University Circle,10.419361299736027,394.79999999999995,16,Thu,0,Foggy
Hadapsar,15.629041949604039,253.8,16,Thu,0,Foggy
Kothrud,18.233882274538043,211.5,16,Thu,0,Foggy
Hinjewadi,20.58070814380849,77.5,7,Tue,0,Clear
Swargate,25.72588517976061,68.2,7,Tue,0,Clear
University Circle,20.58070814380849,86.8,7,Tue,0,Clear
Hadapsar,30.87106221571273,55.800000000000004,7,Tue,0,Clear
Kothrud,36.01623925166485,46.5,7,Tue,0,Clear
Hinjewadi,7.444028148060081,27.5,20,Tue,1,Rainy
Swargate,13.95755277761265,24.200000000000003,20,Tue,1,Rainy
University Circle,5.58302111104506,30.799999999999997,20,Tue,1,Rainy
Hadapsar,13.95755277761265,19.8,20,Tue,1,Rainy
Kothrud,22.79733620343399,16.5,20,Tue,1,Rainy
Hinjewadi,26.562842709422547,305.0,18,Sat,1,Clear
Swargate,33.20355338677818,268.40000000000003,18,Sat,1,Clear
University Circle,26.562842709422547,341.59999999999997,18,Sat,1,Clear
Hadapsar,39.84426406413382,175.68,18,Sat,1,Clear
Kothrud,46.48497474148945,228.75,18,Sat,1,Clear
Hinjewadi,27.51031760488371,330.0,20,Tue,1,Foggy
Swargate,34.38789700610464,290.40000000000003,20,Tue,1,Foggy
University Circle,27.51031760488371,369.59999999999997,20,Tue,1,Foggy
Hadapsar,41.265476407325565,237.6,20,Tue,1,Foggy
Kothrud,48.14305580854649,198.0,20,Tue,1,Foggy
Hinjewadi,25.654795904638945,255.0,4,Sat,0,Clear
Swargate,32.06849488079868,224.4,4,Sat,0,Clear
University Circle,25.654795904638945,285.59999999999997,4,Sat,0,Clear
Hadapsar,38.48219385695842,146.88,4,Sat,0,Clear
Kothrud,44.895892833118154,191.25,4,Sat,0,Clear
Hinjewadi,33.8440278260152,427.5,6,Wed,0,Clear
Swargate,42.305034782519,376.20000000000005,6,Wed,0,Clear
University Circle,33.8440278260152,478.79999999999995,6,Wed,0,Clear
Hadapsar,50.7660417390228,307.8,6,Wed,0,Clear
Kothrud,59.2270486955266,256.5,6,Wed,0,Clear
Hinjewadi,26.484216139021523,415.0,15,Sun,0,Clear
Swargate,33.1052701737769,511.28000000000003,15,Sun,0,Clear
University Circle,26.484216139021523,464.79999999999995,15,Sun,0,Clear
Hadapsar,39.72632420853228,239.04000000000002,15,Sun,0,Clear
Kothrud,46.34737824328766,311.25,15,Sun,0,Clear
Hinjewadi,4.41555552292322,170.0,0,Tue,0,Rainy
Swargate,8.279166605481036,149.60000000000002,0,Tue,0,Rainy
University Circle,3.311666642192414,190.39999999999998,0,Tue,0,Rainy
Hadapsar,8.279166605481036,122.4,0,Tue,0,Rainy
Kothrud,13.522638788952356,102.0,0,Tue,0,Rainy
Hinjewadi,34.7278099250837,417.5,19,Wed,1,Clear
Swargate,43.40976240635462,367.40000000000003,19,Wed,1,Clear
University Circle,34.7278099250837,467.59999999999997,19,Wed,1,Clear
Hadapsar,52.09171488762555,300.6,19,Wed,1,Clear
Kothrud,60.77366736889647,250.5,19,Wed,1,Clear
Hinjewadi,25.286952536915795,465.0,21,Sun,1,Clear
Swargate,31.608690671144743,572.88,21,Sun,1,Clear
University Circle,25.286952536915795,520.8,21,Sun,1,Clear
Hadapsar,37.93042880537369,267.84000000000003,21,Sun,0,Clear
Kothrud,44.25216693960264,348.75,21,Sun,1,Clear
Hinjewadi,29.176887439092436,355.0,23,Thu,0,Clear
Swargate,36.47110929886554,312.40000000000003,23,Thu,0,Clear
University Circle,29.176887439092436,397.59999999999997,23,Thu,0,Clear
Hadapsar,43.76533115863865,255.6,23,Thu,0,Clear
Kothrud,51.059553018411755,213.0,23,Thu,0,Clear
Hinjewadi,19.875614029764094,337.5,8,Tue,1,Foggy
Swargate,24.844517537205114,297.0,8,Tue,0,Foggy
University Circle,19.875614029764094,378.0,8,Tue,1,Foggy
Hadapsar,29.813421044646134,243.0,8,Tue,0,Foggy
Kothrud,34.782324552087154,202.5,8,Tue,0,Foggy
Hinjewadi,8.579969313463351,372.5,8,Sun,1,Clear
Swargate,12.0,458.91999999999996,8,Sun,0,Clear
University Circle,8.579969313463351,417.2,8,Sun,1,Clear
Hadapsar,15.0,214.56,8,Sun,0,Clear
Kothrud,18.0,279.375,8,Sun,0,Clear
Hinjewadi,13.736179581049283,310.0,18,Tue,1,Foggy
Swargate,17.170224476311603,272.8,18,Tue,1,Foggy
University Circle,13.736179581049283,347.2,18,Tue,1,Foggy
Hadapsar,20.604269371573924,223.20000000000002,18,Tue,1,Foggy
Kothrud,24.03831426683624,186.0,18,Tue,1,Foggy
Hinjewadi,12.191159775813572,367.5,11,Sun,1,Foggy
Swargate,15.238949719766964,452.76,11,Sun,1,Foggy
University Circle,12.191159775813572,411.59999999999997,11,Sun,1,Foggy
Hadapsar,18.286739663720358,211.68000000000004,11,Sun,1,Foggy
Kothrud,21.334529607673748,275.625,11,Sun,1,Foggy
