origin,destination,hour,minute,day_of_week,route_id,travel_time,distance,traffic_delay,avg_speed,delay_ratio,is_best_route
Hadapsar,Swargate,6,30,0,0,1077,8486,0,28.365459610027855,0.0,1
Hadapsar,Swargate,6,30,0,1,1761,12131,0,24.799318568994888,0.0,0
Hadapsar,Swargate,6,30,0,2,1756,11129,0,22.815717539863325,0.0,0
Hadapsar,Swargate,7,30,0,0,1226,8486,0,24.918107667210442,0.0,1
Hadapsar,Swargate,7,30,0,1,1804,11766,0,23.479822616407983,0.0,0
Hadapsar,Swargate,7,30,0,2,1405,9613,0,24.6311743772242,0.0,0
Hadapsar,Swargate,8,30,0,0,1415,8486,0,21.58982332155477,0.0,1
Hadapsar,Swargate,8,30,0,1,1969,11129,0,20.3475876079228,0.0,0
Hadapsar,Swargate,8,30,0,2,2099,12146,0,20.83163411148166,0.0,0
Hadapsar,Swargate,9,30,0,0,1487,8486,0,20.544451916610626,0.0,1
Hadapsar,Swargate,9,30,0,1,2031,11129,0,19.726440177252584,0.0,0
Hadapsar,Swargate,9,30,0,2,2172,11695,0,19.383977900552484,0.0,0
Hadapsar,Swargate,10,30,0,0,1568,8486,0,19.483163265306125,0.0,1
Hadapsar,Swargate,10,30,0,1,2114,11129,0,18.951939451277198,0.0,0
Hadapsar,Swargate,10,30,0,2,2281,11695,0,18.457693993862343,0.0,0
Hadapsar,Swargate,11,30,0,0,1610,8486,0,18.97490683229814,0.0,1
Hadapsar,Swargate,11,30,0,1,2193,11202,0,18.3890560875513,0.0,0
Hadapsar,Swargate,11,30,0,2,2370,11695,0,17.764556962025317,0.0,0
Hadapsar,Swargate,12,30,0,0,1567,8486,0,19.495596681557117,0.0,1
Hadapsar,Swargate,12,30,0,1,2200,11202,0,18.330545454545454,0.0,0
Hadapsar,Swargate,12,30,0,2,1706,9613,0,20.285345838218053,0.0,0
Hadapsar,Swargate,13,30,0,0,1464,8486,0,20.8672131147541,0.0,1
Hadapsar,Swargate,13,30,0,1,1624,9613,0,21.30960591133005,0.0,0
Hadapsar,Swargate,13,30,0,2,2148,11202,0,18.774301675977654,0.0,0
Hadapsar,Swargate,14,30,0,0,1431,8486,0,21.348427672955975,0.0,1
Hadapsar,Swargate,14,30,0,1,1605,9613,0,21.5618691588785,0.0,0
Hadapsar,Swargate,14,30,0,2,2155,11764,0,19.65215777262181,0.0,0
Hadapsar,Swargate,15,30,0,0,1473,8486,0,20.73971486761711,0.0,1
Hadapsar,Swargate,15,30,0,1,2139,11202,0,18.853295932678822,0.0,0
Hadapsar,Swargate,15,30,0,2,1647,9613,0,21.012021857923497,0.0,0
Hadapsar,Swargate,16,30,0,0,1601,8486,0,19.081574016239852,0.0,1
Hadapsar,Swargate,16,30,0,1,2231,11202,0,18.075840430300314,0.0,0
Hadapsar,Swargate,16,30,0,2,1758,9613,0,19.68532423208191,0.0,0
Hadapsar,Swargate,17,30,0,0,1766,8486,0,17.29875424688562,0.0,1
Hadapsar,Swargate,17,30,0,1,2271,11110,0,17.611624834874505,0.0,0
Hadapsar,Swargate,17,30,0,2,2541,11695,0,16.569067296340023,0.0,0
Hadapsar,Swargate,18,30,0,0,1784,8486,0,17.124215246636773,0.0,1
Hadapsar,Swargate,18,30,0,1,2281,11110,0,17.53441473038141,0.0,0
Hadapsar,Swargate,18,30,0,2,2490,11695,0,16.90843373493976,0.0,0
Hadapsar,Swargate,19,30,0,0,1594,8486,0,19.16537013801757,0.0,1
Hadapsar,Swargate,19,30,0,1,2195,11626,0,19.067699316628698,0.0,0
Hadapsar,Swargate,19,30,0,2,1858,10271,0,19.900753498385363,0.0,0
Hadapsar,Swargate,20,30,0,0,1322,8486,0,23.108623298033283,0.0,1
Hadapsar,Swargate,20,30,0,1,1901,11766,0,22.281746449237247,0.0,0
Hadapsar,Swargate,20,30,0,2,1492,9613,0,23.194906166219837,0.0,0
Hadapsar,Swargate,21,30,0,0,1097,8486,0,27.848313582497724,0.0,1
Hadapsar,Swargate,21,30,0,1,1745,12131,0,25.026704871060172,0.0,0
Hadapsar,Swargate,21,30,0,2,1768,11129,0,22.660859728506786,0.0,0
Hadapsar,Swargate,22,30,0,0,1034,8486,0,29.545067698259192,0.0,1
Hadapsar,Swargate,22,30,0,1,1690,12131,0,25.841183431952665,0.0,0
Hadapsar,Swargate,22,30,0,2,1718,11129,0,23.320372526193246,0.0,0
Hadapsar,Swargate,23,30,0,0,1034,8486,0,29.545067698259192,0.0,1
Hadapsar,Swargate,23,30,0,1,1690,12131,0,25.841183431952665,0.0,0
Hadapsar,Swargate,23,30,0,2,1718,11129,0,23.320372526193246,0.0,0
Hadapsar,Swargate,6,30,1,0,1076,8486,0,28.391821561338293,0.0,1
Hadapsar,Swargate,6,30,1,1,1749,12131,0,24.969468267581476,0.0,0
Hadapsar,Swargate,6,30,1,2,1755,11129,0,22.828717948717948,0.0,0
Hadapsar,Swargate,7,30,1,0,1213,8486,0,25.185160758450127,0.0,1
Hadapsar,Swargate,7,30,1,1,1768,11766,0,23.957918552036197,0.0,0
Hadapsar,Swargate,7,30,1,2,1385,9613,0,24.98685920577617,0.0,0
Hadapsar,Swargate,8,30,1,0,1390,8486,0,21.97812949640288,0.0,1
