origin,destination,hour,day_of_week,route_id,travel_time,distance,traffic_delay,avg_speed,delay_ratio,is_best_route
Kothrud,Swargate,0,0,0,987,6976,0,25.44437689969605,0.0,1
Kothrud,Swargate,0,0,1,1130,7152,0,22.785132743362833,0.0,0
Kothrud,Swargate,0,0,2,1080,7301,0,24.33666666666667,0.0,0
Kothrud,Swargate,6,0,0,1009,6976,0,24.889593657086223,0.0,1
Kothrud,Swargate,6,0,1,1149,7152,0,22.408355091383815,0.0,0
Kothrud,Swargate,6,0,2,1101,7327,0,23.957493188010897,0.0,0
Kothrud,Swargate,8,0,0,1234,6976,0,20.351377633711508,0.0,1
Kothrud,Swargate,8,0,1,1402,7243,0,18.598288159771755,0.0,0
Kothrud,Swargate,8,0,2,1395,7325,0,18.903225806451612,0.0,0
Kothrud,Swargate,10,0,0,1479,7268,0,17.690872210953348,0.0,1
Kothrud,Swargate,10,0,1,1598,7277,0,16.393742177722153,0.0,0
Kothrud,Swargate,10,0,2,1589,7427,0,16.826431718061674,0.0,0
Kothrud,Swargate,12,0,0,1593,7261,0,16.409039548022598,0.0,1
Kothrud,Swargate,12,0,1,1733,7361,0,15.291171379111368,0.0,0
Kothrud,Swargate,12,0,2,1812,7427,0,14.755629139072848,0.0,0
Kothrud,Swargate,14,0,0,1476,7327,0,17.870731707317074,0.0,1
Kothrud,Swargate,14,0,1,1666,7416,0,16.0249699879952,0.0,0
Kothrud,Swargate,14,0,2,1739,7427,0,15.375043128234616,0.0,0
Kothrud,Swargate,16,0,0,1460,7226,0,17.81753424657534,0.0,1
Kothrud,Swargate,16,0,1,1632,7373,0,16.263970588235296,0.0,0
Kothrud,Swargate,16,0,2,1745,7427,0,15.322177650429799,0.0,0
Kothrud,Swargate,18,0,0,1613,7218,0,16.109609423434595,0.0,1
Kothrud,Swargate,18,0,1,1820,7285,0,14.40989010989011,0.0,0
Kothrud,Swargate,18,0,2,1825,7427,0,14.650520547945206,0.0,0
Kothrud,Swargate,20,0,0,1454,6976,0,17.272077028885832,0.0,1
Kothrud,Swargate,20,0,1,1695,7177,0,15.243185840707964,0.0,0
Kothrud,Swargate,20,0,2,1604,7404,0,16.617456359102246,0.0,0
Kothrud,Swargate,22,0,0,987,6976,0,25.44437689969605,0.0,1
Kothrud,Swargate,22,0,1,1130,7152,0,22.785132743362833,0.0,0
Kothrud,Swargate,22,0,2,1080,7301,0,24.33666666666667,0.0,0
Kothrud,Swargate,0,1,0,987,6976,0,25.44437689969605,0.0,1
Kothrud,Swargate,0,1,1,1130,7152,0,22.785132743362833,0.0,0
Kothrud,Swargate,0,1,2,1080,7301,0,24.33666666666667,0.0,0
Kothrud,Swargate,6,1,0,1009,6976,0,24.889593657086223,0.0,1
Kothrud,Swargate,6,1,1,1149,7152,0,22.408355091383815,0.0,0
Kothrud,Swargate,6,1,2,1098,7301,0,23.93770491803279,0.0,0
Kothrud,Swargate,8,1,0,1216,6976,0,20.652631578947368,0.0,1
Kothrud,Swargate,8,1,1,1402,7384,0,18.96034236804565,0.0,0
Kothrud,Swargate,8,1,2,1385,7333,0,19.060505415162453,0.0,0
Kothrud,Swargate,10,1,0,1472,7268,0,17.775,0.0,1
Kothrud,Swargate,10,1,1,1599,7277,0,16.38348968105066,0.0,0
Kothrud,Swargate,10,1,2,1593,7427,0,16.784180790960452,0.0,0
Kothrud,Swargate,12,1,0,1597,7266,0,16.379211020663742,0.0,1
Kothrud,Swargate,12,1,1,1736,7361,0,15.264746543778802,0.0,0
Kothrud,Swargate,12,1,2,1831,7427,0,14.602512288367011,0.0,0
Kothrud,Swargate,14,1,0,1484,7327,0,17.774393530997305,0.0,1
Kothrud,Swargate,14,1,1,1566,7195,0,16.54022988505747,0.0,0
Kothrud,Swargate,14,1,2,1968,10140,0,18.54878048780488,0.0,0
Kothrud,Swargate,16,1,0,1458,7226,0,17.841975308641974,0.0,1
Kothrud,Swargate,16,1,1,1643,7373,0,16.155082166768107,0.0,0
Kothrud,Swargate,16,1,2,1735,7427,0,15.410489913544668,0.0,0
Kothrud,Swargate,18,1,0,1605,7218,0,16.189906542056075,0.0,1
Kothrud,Swargate,18,1,1,1814,7318,0,14.523042998897463,0.0,0
Kothrud,Swargate,18,1,2,1823,7427,0,14.666593527153044,0.0,0
Kothrud,Swargate,20,1,0,1443,6976,0,17.403742203742205,0.0,1
Kothrud,Swargate,20,1,1,1672,7177,0,15.452870813397128,0.0,0
Kothrud,Swargate,20,1,2,1602,7408,0,16.647191011235957,0.0,0
Kothrud,Swargate,22,1,0,987,6976,0,25.44437689969605,0.0,1
Kothrud,Swargate,22,1,1,1130,7152,0,22.785132743362833,0.0,0
Kothrud,Swargate,22,1,2,1080,7301,0,24.33666666666667,0.0,0
Kothrud,Swargate,0,2,0,987,6976,0,25.44437689969605,0.0,1
Kothrud,Swargate,0,2,1,1130,7152,0,22.785132743362833,0.0,0
Kothrud,Swargate,0,2,2,1080,7301,0,24.33666666666667,0.0,0
Kothrud,Swargate,6,2,0,1009,6976,0,24.889593657086223,0.0,1
Kothrud,Swargate,6,2,1,1149,7152,0,22.408355091383815,0.0,0
Kothrud,Swargate,6,2,2,1098,7301,0,23.93770491803279,0.0,0
Kothrud,Swargate,8,2,0,1213,6976,0,20.70370981038747,0.0,1
Kothrud,Swargate,8,2,1,1410,7243,0,18.49276595744681,0.0,0
Kothrud,Swargate,8,2,2,1386,7350,0,19.09090909090909,0.0,0
Kothrud,Swargate,10,2,0,1459,6817,0,16.82056202878684,0.0,1
Kothrud,Swargate,10,2,1,1605,7361,0,16.510654205607477,0.0,0
Kothrud,Swargate,10,2,2,1751,7958,0,16.361393489434608,0.0,0
Kothrud,Swargate,12,2,0,1594,7261,0,16.398745294855708,0.0,1
Kothrud,Swargate,12,2,1,1754,7361,0,15.108095781071835,0.0,0
Kothrud,Swargate,12,2,2,1819,7427,0,14.698845519516215,0.0,0
Kothrud,Swargate,14,2,0,1490,7327,0,17.70281879194631,0.0,1
Kothrud,Swargate,14,2,1,1577,7195,0,16.424857324032974,0.0,0
Kothrud,Swargate,14,2,2,1992,10140,0,18.32530120481928,0.0,0
Kothrud,Swargate,16,2,0,1476,7226,0,17.62439024390244,0.0,1
