origin,destination,hour,day_of_week,route_id,travel_time,distance,traffic_delay,avg_speed,delay_ratio,is_best_route
University,Swargate,7,0,0,1139,7766,0,24.54574187884109,0.0,1
University,Swargate,7,0,1,1408,9205,0,23.535511363636363,0.0,0
University,Swargate,7,0,2,1484,8685,0,21.068733153638817,0.0,0
University,Swargate,9,0,0,1330,7766,0,21.020751879699247,0.0,1
University,Swargate,9,0,1,1713,9143,0,19.21471103327496,0.0,0
University,Swargate,9,0,2,1724,8546,0,17.845475638051045,0.0,0
University,Swargate,11,0,0,1530,7766,0,18.27294117647059,0.0,1
University,Swargate,11,0,1,1958,9205,0,16.9244126659857,0.0,0
University,Swargate,11,0,2,1705,8289,0,17.501700879765394,0.0,0
University,Swargate,13,0,0,1616,7766,0,17.30049504950495,0.0,1
University,Swargate,13,0,1,1986,9642,0,17.477945619335348,0.0,0
University,Swargate,13,0,2,1747,8289,0,17.080938752146537,0.0,0
University,Swargate,15,0,0,1631,7766,0,17.141385652973636,0.0,1
University,Swargate,15,0,1,1857,9602,0,18.61453957996769,0.0,0
University,Swargate,15,0,2,1737,8439,0,17.490155440414508,0.0,0
University,Swargate,17,0,0,1744,7766,0,16.03073394495413,0.0,1
University,Swargate,17,0,1,2054,9651,0,16.915092502434273,0.0,0
University,Swargate,17,0,2,1822,8439,0,16.674204171240397,0.0,0
University,Swargate,19,0,0,1671,7766,0,16.731059245960502,0.0,1
University,Swargate,19,0,1,2010,9143,0,16.375522388059704,0.0,0
University,Swargate,19,0,2,1958,8505,0,15.637385086823292,0.0,0
University,Swargate,21,0,0,1260,7766,0,22.18857142857143,0.0,1
University,Swargate,21,0,1,1519,9205,0,21.815668202764975,0.0,0
University,Swargate,21,0,2,1594,8644,0,19.522208281053953,0.0,0
University,Swargate,23,0,0,1095,7766,0,25.53205479452055,0.0,1
University,Swargate,23,0,1,1314,9205,0,25.21917808219178,0.0,0
University,Swargate,23,0,2,1421,8644,0,21.89894440534835,0.0,0
University,Swargate,7,1,0,1146,7766,0,24.395811518324606,0.0,1
University,Swargate,7,1,1,1408,9205,0,23.535511363636363,0.0,0
University,Swargate,7,1,2,1486,8685,0,21.040376850605654,0.0,0
University,Swargate,9,1,0,1313,7766,0,21.292916984006094,0.0,1
University,Swargate,9,1,1,1707,9143,0,19.28224956063269,0.0,0
University,Swargate,9,1,2,1536,8289,0,19.42734375,0.0,0
University,Swargate,11,1,0,1529,7766,0,18.284892086330935,0.0,1
University,Swargate,11,1,1,1972,9143,0,16.69107505070994,0.0,0
University,Swargate,11,1,2,1695,8289,0,17.60495575221239,0.0,0
