origin,destination,hour,day_of_week,route_id,travel_time,distance,traffic_delay,avg_speed,delay_ratio,is_best_route
Swargate,Hinjewadi,7,0,0,2334,19447,0,29.995372750642677,0.0,1
Swargate,Hinjewadi,7,0,1,2440,23562,0,34.76360655737705,0.0,0
Swargate,Hinjewadi,7,0,2,2509,19532,0,28.025189318453567,0.0,0
Swargate,Hinjewadi,9,0,0,2803,19447,0,24.97652515162326,0.0,1
Swargate,Hinjewadi,9,0,1,3040,23630,0,27.982894736842105,0.0,0
Swargate,Hinjewadi,9,0,2,3002,19532,0,23.422784810126583,0.0,0
Swargate,Hinjewadi,11,0,0,3055,19469,0,22.942193126022914,0.0,1
Swargate,Hinjewadi,11,0,1,3270,23766,0,26.16440366972477,0.0,0
Swargate,Hinjewadi,11,0,2,3289,19555,0,21.40407418668288,0.0,0
Swargate,Hinjewadi,13,0,0,2915,19469,0,24.04404802744425,0.0,1
Swargate,Hinjewadi,13,0,1,3096,23766,0,27.63488372093023,0.0,0
Swargate,Hinjewadi,13,0,2,3138,19555,0,22.434034416826,0.0,0
Swargate,Hinjewadi,15,0,0,2914,19469,0,24.052299245024024,0.0,0
Swargate,Hinjewadi,15,0,1,2874,23766,0,29.769519832985385,0.0,1
Swargate,Hinjewadi,15,0,2,3293,19556,0,21.379167931976923,0.0,0
Swargate,Hinjewadi,17,0,0,3284,23578,0,25.846772228989035,0.0,1
Swargate,Hinjewadi,17,0,1,3356,19447,0,20.86090584028605,0.0,0
Swargate,Hinjewadi,17,0,2,3485,19532,0,20.17652797704448,0.0,0
Swargate,Hinjewadi,19,0,0,3280,19447,0,21.344268292682926,0.0,1
Swargate,Hinjewadi,19,0,1,3330,23630,0,25.545945945945945,0.0,0
Swargate,Hinjewadi,19,0,2,3382,19532,0,20.791011235955057,0.0,0
Swargate,Hinjewadi,21,0,0,2381,19447,0,29.403275934481307,0.0,1
Swargate,Hinjewadi,21,0,1,2526,23562,0,33.580047505938246,0.0,0
Swargate,Hinjewadi,21,0,2,2534,19532,0,27.74869771112865,0.0,0
Swargate,Hinjewadi,23,0,0,2123,19469,0,33.01384832783796,0.0,1
Swargate,Hinjewadi,23,0,1,2217,23562,0,38.26035182679296,0.0,0
Swargate,Hinjewadi,23,0,2,2401,19870,0,29.79258642232403,0.0,0
Swargate,Hinjewadi,7,1,0,2317,19447,0,30.215451014242557,0.0,1
Swargate,Hinjewadi,7,1,1,2425,23562,0,34.97863917525773,0.0,0
Swargate,Hinjewadi,7,1,2,2519,19532,0,27.913934100833664,0.0,0
Swargate,Hinjewadi,9,1,0,2744,19447,0,25.51355685131195,0.0,1
Swargate,Hinjewadi,9,1,1,2996,23766,0,28.55727636849132,0.0,0
Swargate,Hinjewadi,9,1,2,2925,19532,0,24.039384615384616,0.0,0
Swargate,Hinjewadi,11,1,0,2992,19469,0,23.425267379679145,0.0,1
Swargate,Hinjewadi,11,1,1,3220,23766,0,26.57068322981366,0.0,0
Swargate,Hinjewadi,11,1,2,3203,19555,0,21.97876990321573,0.0,0
Swargate,Hinjewadi,13,1,0,2898,19469,0,24.185093167701865,0.0,1
Swargate,Hinjewadi,13,1,1,3075,23766,0,27.82360975609756,0.0,0
Swargate,Hinjewadi,13,1,2,3077,19555,0,22.878778030549235,0.0,0
Swargate,Hinjewadi,15,1,0,2855,23766,0,29.96763572679509,0.0,1
Swargate,Hinjewadi,15,1,1,2924,19469,0,23.970041039671685,0.0,0
Swargate,Hinjewadi,15,1,2,3243,19556,0,21.708788159111933,0.0,0
Swargate,Hinjewadi,17,1,0,3266,23578,0,25.98922229026332,0.0,1
Swargate,Hinjewadi,17,1,1,3356,19447,0,20.86090584028605,0.0,0
Swargate,Hinjewadi,17,1,2,3437,19532,0,20.458306662787315,0.0,0
Swargate,Hinjewadi,19,1,0,3284,19447,0,21.31827040194884,0.0,1
Swargate,Hinjewadi,19,1,1,3349,23630,0,25.401015228426395,0.0,0
Swargate,Hinjewadi,19,1,2,3344,19532,0,21.027272727272727,0.0,0
Swargate,Hinjewadi,21,1,0,2381,19447,0,29.403275934481307,0.0,1
Swargate,Hinjewadi,21,1,1,2525,23562,0,33.59334653465347,0.0,0
Swargate,Hinjewadi,21,1,2,2528,19532,0,27.81455696202532,0.0,0
Swargate,Hinjewadi,23,1,0,2123,19469,0,33.01384832783796,0.0,1
Swargate,Hinjewadi,23,1,1,2217,23562,0,38.26035182679296,0.0,0
Swargate,Hinjewadi,23,1,2,2401,19870,0,29.79258642232403,0.0,0
Swargate,Hinjewadi,7,2,0,2298,19447,0,30.46527415143603,0.0,1
Swargate,Hinjewadi,7,2,1,2396,23562,0,35.40200333889816,0.0,0
Swargate,Hinjewadi,7,2,2,2482,19532,0,28.330056406124093,0.0,0
Swargate,Hinjewadi,9,2,0,2711,19447,0,25.824123939505714,0.0,1
Swargate,Hinjewadi,9,2,1,2938,23630,0,28.95439074200136,0.0,0
Swargate,Hinjewadi,9,2,2,2873,19532,0,24.47448659937348,0.0,0
Swargate,Hinjewadi,11,2,0,2998,19469,0,23.3783855903936,0.0,1
Swargate,Hinjewadi,11,2,1,3197,23766,0,26.76183922427275,0.0,0
Swargate,Hinjewadi,11,2,2,3178,19555,0,22.151667715544367,0.0,0
Swargate,Hinjewadi,13,2,0,2931,19469,0,23.91279426816786,0.0,1
Swargate,Hinjewadi,13,2,1,3115,23766,0,27.46632423756019,0.0,0
Swargate,Hinjewadi,13,2,2,3119,19555,0,22.57069573581276,0.0,0
Swargate,Hinjewadi,15,2,0,2882,23766,0,29.686884108258152,0.0,1
Swargate,Hinjewadi,15,2,1,2955,19447,0,23.691776649746192,0.0,0
Swargate,Hinjewadi,15,2,2,3399,19870,0,21.045013239188,0.0,0
Swargate,Hinjewadi,17,2,0,3278,23578,0,25.894081757169005,0.0,1
Swargate,Hinjewadi,17,2,1,3379,19447,0,20.71891092039065,0.0,0
Swargate,Hinjewadi,17,2,2,3456,19532,0,20.34583333333333,0.0,0
Swargate,Hinjewadi,19,2,0,3331,19447,0,21.017472230561392,0.0,1
Swargate,Hinjewadi,19,2,1,3363,23630,0,25.295272078501338,0.0,0
Swargate,Hinjewadi,19,2,2,3382,19532,0,20.791011235955057,0.0,0
Swargate,Hinjewadi,21,2,0,2396,19469,0,29.25225375626044,0.0,1
Swargate,Hinjewadi,21,2,1,2541,23562,0,33.38181818181818,0.0,0
Swargate,Hinjewadi,21,2,2,2543,19555,0,27.68305151395989,0.0,0
Swargate,Hinjewadi,23,2,0,2123,19469,0,33.01384832783796,0.0,1
Swargate,Hinjewadi,23,2,1,2217,23562,0,38.26035182679296,0.0,0
Swargate,Hinjewadi,23,2,2,2401,19870,0,29.79258642232403,0.0,0
Swargate,Hinjewadi,7,3,0,2251,19447,0,31.10137716570413,0.0,1
Swargate,Hinjewadi,7,3,1,2357,23562,0,35.987781077641074,0.0,0
Swargate,Hinjewadi,7,3,2,2412,19532,0,29.152238805970143,0.0,0
Swargate,Hinjewadi,9,3,0,2511,19469,0,27.912544802867384,0.0,1
Swargate,Hinjewadi,9,3,1,2787,23562,0,30.43530678148547,0.0,0
Swargate,Hinjewadi,9,3,2,2680,19555,0,26.267910447761192,0.0,0
Swargate,Hinjewadi,11,3,0,2816,19469,0,24.88934659090909,0.0,1
Swargate,Hinjewadi,11,3,1,3125,23766,0,27.378432,0.0,0
Swargate,Hinjewadi,11,3,2,3014,19555,0,23.357000663570005,0.0,0
Swargate,Hinjewadi,13,3,0,2999,19469,0,23.370590196732245,0.0,1
Swargate,Hinjewadi,13,3,1,3208,23766,0,26.67007481296758,0.0,0
Swargate,Hinjewadi,13,3,2,3216,19555,0,21.88992537313433,0.0,0
Swargate,Hinjewadi,15,3,0,3087,23766,0,27.715451895043728,0.0,1
Swargate,Hinjewadi,15,3,1,3206,19469,0,21.861634435433565,0.0,0
Swargate,Hinjewadi,15,3,2,3137,26572,0,30.49384762511954,0.0,0
Swargate,Hinjewadi,17,3,0,3305,23578,0,25.682541603630863,0.0,1
Swargate,Hinjewadi,17,3,1,3487,19447,0,20.07720103240608,0.0,0
Swargate,Hinjewadi,17,3,2,3693,19556,0,19.06352558895207,0.0,0
Swargate,Hinjewadi,19,3,0,3151,19447,0,22.218089495398285,0.0,1
Swargate,Hinjewadi,19,3,1,3258,23578,0,26.053038674033147,0.0,0
Swargate,Hinjewadi,19,3,2,3418,19556,0,20.59730836746636,0.0,0
Swargate,Hinjewadi,21,3,0,2392,19447,0,29.2680602006689,0.0,1
Swargate,Hinjewadi,21,3,1,2547,23562,0,33.303180212014134,0.0,0
Swargate,Hinjewadi,21,3,2,2542,19532,0,27.66136900078678,0.0,0
Swargate,Hinjewadi,23,3,0,2123,19469,0,33.01384832783796,0.0,1
Swargate,Hinjewadi,23,3,1,2217,23562,0,38.26035182679296,0.0,0
Swargate,Hinjewadi,23,3,2,2400,19870,0,29.805000000000003,0.0,0
Swargate,Hinjewadi,7,4,0,2200,19447,0,31.822363636363637,0.0,1
Swargate,Hinjewadi,7,4,1,2309,23562,0,36.73590298830663,0.0,0
Swargate,Hinjewadi,7,4,2,2515,19870,0,28.442147117296223,0.0,0
Swargate,Hinjewadi,9,4,0,2350,19447,0,29.79114893617021,0.0,1
Swargate,Hinjewadi,9,4,1,2564,23562,0,33.0823712948518,0.0,0
Swargate,Hinjewadi,9,4,2,2521,19532,0,27.891788972629907,0.0,0
Swargate,Hinjewadi,11,4,0,2557,19447,0,27.379429018380915,0.0,1
Swargate,Hinjewadi,11,4,1,2780,23630,0,30.6,0.0,0
Swargate,Hinjewadi,11,4,2,2946,19917,0,24.33849287169043,0.0,0
Swargate,Hinjewadi,13,4,0,2688,19447,0,26.045089285714283,0.0,1
Swargate,Hinjewadi,13,4,1,2865,23630,0,29.69214659685864,0.0,0
Swargate,Hinjewadi,13,4,2,3064,19917,0,23.401174934725848,0.0,0
Swargate,Hinjewadi,15,4,0,2870,19447,0,24.393449477351915,0.0,0
Swargate,Hinjewadi,15,4,1,2834,23630,0,30.01693719124912,0.0,1
Swargate,Hinjewadi,15,4,2,3104,20023,0,23.222551546391752,0.0,0
Swargate,Hinjewadi,17,4,0,3015,23630,0,28.214925373134328,0.0,1
Swargate,Hinjewadi,17,4,1,3065,19608,0,23.030603588907017,0.0,0
Swargate,Hinjewadi,17,4,2,3298,20365,0,22.229836264402667,0.0,0
Swargate,Hinjewadi,19,4,0,2843,19447,0,24.625114315863524,0.0,1
Swargate,Hinjewadi,19,4,1,3019,23630,0,28.17754223252733,0.0,0
Swargate,Hinjewadi,19,4,2,3257,20193,0,22.319557875345414,0.0,0
Swargate,Hinjewadi,21,4,0,2327,19447,0,30.08560378169317,0.0,1
Swargate,Hinjewadi,21,4,1,2487,23562,0,34.10663449939687,0.0,0
Swargate,Hinjewadi,21,4,2,2486,19532,0,28.28447304907482,0.0,0
Swargate,Hinjewadi,23,4,0,2123,19469,0,33.01384832783796,0.0,1
Swargate,Hinjewadi,23,4,1,2217,23562,0,38.26035182679296,0.0,0
Swargate,Hinjewadi,23,4,2,2400,19870,0,29.805000000000003,0.0,0
