origin,destination,hour,day_of_week,route_id,travel_time,distance,traffic_delay,avg_speed,delay_ratio,is_best_route
Kothrud,Swargate,7,0,0,1069,6976,0,23.492609915809165,0.0,1
Kothrud,Swargate,7,0,1,1253,7243,0,20.809896249002396,0.0,0
Kothrud,Swargate,7,0,2,1246,7350,0,21.235955056179776,0.0,0
Kothrud,Swargate,9,0,0,1382,6976,0,18.171924746743848,0.0,1
Kothrud,Swargate,9,0,1,1538,7318,0,17.12925877763329,0.0,0
Kothrud,Swargate,9,0,2,1519,7333,0,17.37906517445688,0.0,0
Kothrud,Swargate,11,0,0,1563,7261,0,16.723992322456816,0.0,1
Kothrud,Swargate,11,0,1,1679,7361,0,15.782966051220964,0.0,0
Kothrud,Swargate,11,0,2,1730,7427,0,15.455028901734103,0.0,0
Kothrud,Swargate,13,0,0,1560,7261,0,16.756153846153847,0.0,1
Kothrud,Swargate,13,0,1,1716,7361,0,15.442657342657341,0.0,0
Kothrud,Swargate,13,0,2,1790,7427,0,14.936983240223462,0.0,0
Kothrud,Swargate,15,0,0,1421,7226,0,18.306544686840255,0.0,1
Kothrud,Swargate,15,0,1,1602,7373,0,16.568539325842696,0.0,0
Kothrud,Swargate,15,0,2,1719,7427,0,15.553926701570681,0.0,0
Kothrud,Swargate,17,0,0,1559,7223,0,16.679153303399612,0.0,1
Kothrud,Swargate,17,0,1,1740,7318,0,15.140689655172412,0.0,0
Kothrud,Swargate,17,0,2,1811,7427,0,14.763776918829373,0.0,0
Kothrud,Swargate,19,0,0,1598,7218,0,16.260826032540677,0.0,1
Kothrud,Swargate,19,0,1,1826,7285,0,14.362541073384447,0.0,0
Kothrud,Swargate,19,0,2,1757,7427,0,15.217529880478086,0.0,0
Kothrud,Swargate,21,0,0,1203,6976,0,20.875810473815463,0.0,1
Kothrud,Swargate,21,0,1,1342,7152,0,19.185692995529063,0.0,0
Kothrud,Swargate,21,0,2,1268,7310,0,20.753943217665615,0.0,0
Kothrud,Swargate,23,0,0,987,6976,0,25.44437689969605,0.0,1
Kothrud,Swargate,23,0,1,1130,7152,0,22.785132743362833,0.0,0
Kothrud,Swargate,23,0,2,1080,7301,0,24.33666666666667,0.0,0
Kothrud,Swargate,7,1,0,1065,6976,0,23.580845070422534,0.0,1
Kothrud,Swargate,7,1,1,1255,7243,0,20.776733067729086,0.0,0
Kothrud,Swargate,7,1,2,1242,7325,0,21.231884057971016,0.0,0
Kothrud,Swargate,9,1,0,1365,6976,0,18.39824175824176,0.0,1
Kothrud,Swargate,9,1,1,1531,7318,0,17.207576747224035,0.0,0
Kothrud,Swargate,9,1,2,1513,7333,0,17.447984137475217,0.0,0
Kothrud,Swargate,11,1,0,1559,7266,0,16.778447722899294,0.0,1
Kothrud,Swargate,11,1,1,1681,7361,0,15.764187983343248,0.0,0
Kothrud,Swargate,11,1,2,1740,7427,0,15.366206896551724,0.0,0
Kothrud,Swargate,13,1,0,1565,7266,0,16.7141214057508,0.0,1
Kothrud,Swargate,13,1,1,1718,7361,0,15.424679860302676,0.0,0
Kothrud,Swargate,13,1,2,1810,7427,0,14.771933701657458,0.0,0
Kothrud,Swargate,15,1,0,1428,7226,0,18.216806722689075,0.0,1
Kothrud,Swargate,15,1,1,1614,7373,0,16.4453531598513,0.0,0
Kothrud,Swargate,15,1,2,1716,7427,0,15.58111888111888,0.0,0
Kothrud,Swargate,17,1,0,1551,7223,0,16.765183752417794,0.0,1
Kothrud,Swargate,17,1,1,1738,7318,0,15.158112773302646,0.0,0
Kothrud,Swargate,17,1,2,1805,7427,0,14.812853185595568,0.0,0
Kothrud,Swargate,19,1,0,1596,7218,0,16.281203007518798,0.0,1
Kothrud,Swargate,19,1,1,1811,7285,0,14.481501932633904,0.0,0
Kothrud,Swargate,19,1,2,1765,7427,0,15.1485552407932,0.0,0
Kothrud,Swargate,21,1,0,1200,6976,0,20.928,0.0,1
Kothrud,Swargate,21,1,1,1340,7152,0,19.214328358208956,0.0,0
Kothrud,Swargate,21,1,2,1271,7139,0,20.220613690007866,0.0,0
Kothrud,Swargate,23,1,0,987,6976,0,25.44437689969605,0.0,1
Kothrud,Swargate,23,1,1,1130,7152,0,22.785132743362833,0.0,0
Kothrud,Swargate,23,1,2,1080,7301,0,24.33666666666667,0.0,0
Kothrud,Swargate,7,2,0,1064,6976,0,23.603007518796993,0.0,1
Kothrud,Swargate,7,2,1,1257,7243,0,20.7436754176611,0.0,0
Kothrud,Swargate,7,2,2,1242,7325,0,21.231884057971016,0.0,0
Kothrud,Swargate,9,2,0,1354,6976,0,18.547710487444608,0.0,1
Kothrud,Swargate,9,2,1,1545,7243,0,16.876893203883498,0.0,0
Kothrud,Swargate,9,2,2,1508,7333,0,17.50583554376658,0.0,0
Kothrud,Swargate,11,2,0,1554,7249,0,16.793050193050192,0.0,1
Kothrud,Swargate,11,2,1,1700,7361,0,15.588,0.0,0
Kothrud,Swargate,11,2,2,1727,7427,0,15.481876085697742,0.0,0
Kothrud,Swargate,13,2,0,1566,7327,0,16.84367816091954,0.0,1
Kothrud,Swargate,13,2,1,1746,7277,0,15.004123711340206,0.0,0
Kothrud,Swargate,13,2,2,1804,7427,0,14.821064301552108,0.0,0
Kothrud,Swargate,15,2,0,1444,7226,0,18.014958448753465,0.0,1
Kothrud,Swargate,15,2,1,1624,7373,0,16.34408866995074,0.0,0
Kothrud,Swargate,15,2,2,1753,7427,0,15.25225328009127,0.0,0
Kothrud,Swargate,17,2,0,1563,7223,0,16.636468330134356,0.0,1
Kothrud,Swargate,17,2,1,1763,7177,0,14.655246738513895,0.0,0
Kothrud,Swargate,17,2,2,1837,7427,0,14.554817637452366,0.0,0
Kothrud,Swargate,19,2,0,1597,7218,0,16.271008140262992,0.0,1
Kothrud,Swargate,19,2,1,1835,7285,0,14.292098092643053,0.0,0
Kothrud,Swargate,19,2,2,1761,7427,0,15.18296422487223,0.0,0
Kothrud,Swargate,21,2,0,1200,6976,0,20.928,0.0,1
Kothrud,Swargate,21,2,1,1343,7152,0,19.171407297096057,0.0,0
Kothrud,Swargate,21,2,2,1269,7301,0,20.712056737588654,0.0,0
Kothrud,Swargate,23,2,0,987,6976,0,25.44437689969605,0.0,1
Kothrud,Swargate,23,2,1,1130,7152,0,22.785132743362833,0.0,0
Kothrud,Swargate,23,2,2,1080,7301,0,24.33666666666667,0.0,0
Kothrud,Swargate,7,3,0,1065,6976,0,23.580845070422534,0.0,1
Kothrud,Swargate,7,3,1,1251,7243,0,20.8431654676259,0.0,0
Kothrud,Swargate,7,3,2,1230,7325,0,21.4390243902439,0.0,0
Kothrud,Swargate,9,3,0,1318,6976,0,19.05432473444613,0.0,1
Kothrud,Swargate,9,3,1,1505,7243,0,17.325448504983388,0.0,0
Kothrud,Swargate,9,3,2,1454,7325,0,18.13617606602476,0.0,0
Kothrud,Swargate,11,3,0,1554,7268,0,16.83706563706564,0.0,1
Kothrud,Swargate,11,3,1,1721,7136,0,14.927135386403254,0.0,0
Kothrud,Swargate,11,3,2,1728,7427,0,15.472916666666666,0.0,0
Kothrud,Swargate,13,3,0,1623,7266,0,16.116820702402958,0.0,1
Kothrud,Swargate,13,3,1,1788,7328,0,14.754362416107384,0.0,0
Kothrud,Swargate,13,3,2,1873,7427,0,14.275066737853711,0.0,0
Kothrud,Swargate,15,3,0,1527,7266,0,17.130058939096266,0.0,1
Kothrud,Swargate,15,3,1,1744,7349,0,15.169954128440367,0.0,0
Kothrud,Swargate,15,3,2,1935,7703,0,14.331162790697675,0.0,0
Kothrud,Swargate,17,3,0,1593,7261,0,16.409039548022598,0.0,1
Kothrud,Swargate,17,3,1,1829,7317,0,14.401968288682339,0.0,0
Kothrud,Swargate,17,3,2,1997,7703,0,13.886229344016025,0.0,0
Kothrud,Swargate,19,3,0,1592,7206,0,16.29497487437186,0.0,1
Kothrud,Swargate,19,3,1,1722,7086,0,14.813937282229967,0.0,0
Kothrud,Swargate,19,3,2,1781,7427,0,15.012464907355417,0.0,0
Kothrud,Swargate,21,3,0,1209,6976,0,20.772208436724565,0.0,1
Kothrud,Swargate,21,3,1,1344,7152,0,19.15714285714286,0.0,0
Kothrud,Swargate,21,3,2,1272,7310,0,20.68867924528302,0.0,0
Kothrud,Swargate,23,3,0,987,6976,0,25.44437689969605,0.0,1
Kothrud,Swargate,23,3,1,1130,7152,0,22.785132743362833,0.0,0
Kothrud,Swargate,23,3,2,1080,7301,0,24.33666666666667,0.0,0
Kothrud,Swargate,7,4,0,1044,6976,0,24.055172413793105,0.0,1
Kothrud,Swargate,7,4,1,1236,7243,0,21.096116504854372,0.0,0
Kothrud,Swargate,7,4,2,1212,7512,0,22.31287128712871,0.0,0
Kothrud,Swargate,9,4,0,1176,6976,0,21.355102040816327,0.0,1
Kothrud,Swargate,9,4,1,1382,7243,0,18.867438494934877,0.0,0
Kothrud,Swargate,9,4,2,1315,7512,0,20.565171102661598,0.0,0
Kothrud,Swargate,11,4,0,1309,7226,0,19.872880061115357,0.0,1
Kothrud,Swargate,11,4,1,1444,7427,0,18.51606648199446,0.0,0
Kothrud,Swargate,11,4,2,1494,7405,0,17.843373493975903,0.0,0
Kothrud,Swargate,13,4,0,1375,7226,0,18.91898181818182,0.0,1
Kothrud,Swargate,13,4,1,1545,7177,0,16.723106796116504,0.0,0
Kothrud,Swargate,13,4,2,1554,7427,0,17.205405405405404,0.0,0
Kothrud,Swargate,15,4,0,1354,7284,0,19.366617429837518,0.0,1
Kothrud,Swargate,15,4,1,1493,7177,0,17.305559276624244,0.0,0
Kothrud,Swargate,15,4,2,1620,7703,0,17.11777777777778,0.0,0
Kothrud,Swargate,17,4,0,1406,7223,0,18.49416785206259,0.0,1
Kothrud,Swargate,17,4,1,1564,7177,0,16.519948849104857,0.0,0
Kothrud,Swargate,17,4,2,1672,7703,0,16.585406698564594,0.0,0
Kothrud,Swargate,19,4,0,1419,7226,0,18.3323467230444,0.0,1
Kothrud,Swargate,19,4,1,1629,7093,0,15.675138121546961,0.0,0
Kothrud,Swargate,19,4,2,1578,7427,0,16.943726235741444,0.0,0
Kothrud,Swargate,21,4,0,1154,6976,0,21.762218370883883,0.0,1
Kothrud,Swargate,21,4,1,1370,7243,0,19.032700729927008,0.0,0
Kothrud,Swargate,21,4,2,1313,7325,0,20.083777608530085,0.0,0
Kothrud,Swargate,23,4,0,987,6976,0,25.44437689969605,0.0,1
Kothrud,Swargate,23,4,1,1130,7152,0,22.785132743362833,0.0,0
Kothrud,Swargate,23,4,2,1080,7301,0,24.33666666666667,0.0,0
Kothrud,Swargate,7,5,0,1070,6976,0,23.470654205607477,0.0,1
Kothrud,Swargate,7,5,1,1253,7243,0,20.809896249002396,0.0,0
Kothrud,Swargate,7,5,2,1243,7325,0,21.214802896218824,0.0,0
Kothrud,Swargate,9,5,0,1365,6976,0,18.39824175824176,0.0,1
Kothrud,Swargate,9,5,1,1529,7243,0,17.053499018966647,0.0,0
Kothrud,Swargate,9,5,2,1517,7325,0,17.38299274884641,0.0,0
Kothrud,Swargate,11,5,0,1571,7261,0,16.638828771483134,0.0,1
Kothrud,Swargate,11,5,1,1684,7361,0,15.736104513064133,0.0,0
Kothrud,Swargate,11,5,2,1710,7427,0,15.635789473684211,0.0,0
Kothrud,Swargate,13,5,0,1565,7261,0,16.70261980830671,0.0,1
Kothrud,Swargate,13,5,1,1711,7361,0,15.487784921098772,0.0,0
Kothrud,Swargate,13,5,2,1771,7427,0,15.097233201581027,0.0,0
Kothrud,Swargate,15,5,0,1430,7226,0,18.191328671328673,0.0,1
Kothrud,Swargate,15,5,1,1607,7373,0,16.51698817672682,0.0,0
Kothrud,Swargate,15,5,2,1722,7427,0,15.526829268292682,0.0,0
Kothrud,Swargate,17,5,0,1558,7218,0,16.678305519897304,0.0,1
Kothrud,Swargate,17,5,1,1743,7318,0,15.114629948364886,0.0,0
Kothrud,Swargate,17,5,2,1808,7427,0,14.788274336283184,0.0,0
Kothrud,Swargate,19,5,0,1586,6976,0,15.83455233291299,0.0,1
Kothrud,Swargate,19,5,1,1799,7202,0,14.41200667037243,0.0,0
Kothrud,Swargate,19,5,2,1734,7404,0,15.371626297577853,0.0,0
Kothrud,Swargate,21,5,0,1187,6976,0,21.157203032855936,0.0,1
Kothrud,Swargate,21,5,1,1336,7152,0,19.27185628742515,0.0,0
Kothrud,Swargate,21,5,2,1271,7139,0,20.220613690007866,0.0,0
Kothrud,Swargate,23,5,0,987,6976,0,25.44437689969605,0.0,1
Kothrud,Swargate,23,5,1,1130,7152,0,22.785132743362833,0.0,0
Kothrud,Swargate,23,5,2,1080,7301,0,24.33666666666667,0.0,0
Kothrud,Swargate,7,6,0,1072,6976,0,23.426865671641792,0.0,1
Kothrud,Swargate,7,6,1,1258,7243,0,20.72718600953895,0.0,0
Kothrud,Swargate,7,6,2,1247,7325,0,21.146752205292703,0.0,0
Kothrud,Swargate,9,6,0,1399,6976,0,17.951107934238742,0.0,1
Kothrud,Swargate,9,6,1,1552,7384,0,17.12783505154639,0.0,0
Kothrud,Swargate,9,6,2,1532,7333,0,17.231592689295038,0.0,0
Kothrud,Swargate,11,6,0,1603,7261,0,16.306674984404243,0.0,1
Kothrud,Swargate,11,6,1,1716,7361,0,15.442657342657341,0.0,0
Kothrud,Swargate,11,6,2,1750,7427,0,15.2784,0.0,0
