origin,destination,hour,minute,day_of_week,route_id,travel_time,distance,traffic_delay,avg_speed,delay_ratio,is_best_route
Swargate,Hinjewadi,6,40,0,0,2232,19447,0,31.366129032258065,0.0,1
Swargate,Hinjewadi,6,40,0,1,2325,23562,0,36.48309677419355,0.0,0
Swargate,Hinjewadi,6,40,0,2,2553,19870,0,28.018801410105763,0.0,0
Swargate,Hinjewadi,7,40,0,0,2493,19447,0,28.08231046931408,0.0,1
Swargate,Hinjewadi,7,40,0,1,2632,23562,0,32.227659574468085,0.0,0
Swargate,Hinjewadi,7,40,0,2,2667,19532,0,26.36490438695163,0.0,0
Swargate,Hinjewadi,8,40,0,0,2731,19447,0,25.63500549249359,0.0,1
Swargate,Hinjewadi,8,40,0,1,2963,23630,0,28.710091123860952,0.0,0
Swargate,Hinjewadi,8,40,0,2,2924,19532,0,24.047606019151846,0.0,0
Swargate,Hinjewadi,9,40,0,0,2863,19469,0,24.480754453370597,0.0,1
Swargate,Hinjewadi,9,40,0,1,3095,23766,0,27.6438126009693,0.0,0
Swargate,Hinjewadi,9,40,0,2,3070,19555,0,22.930944625407168,0.0,0
Swargate,Hinjewadi,10,40,0,0,3005,19469,0,23.32392678868553,0.0,1
Swargate,Hinjewadi,10,40,0,1,3229,23766,0,26.49662434190152,0.0,0
Swargate,Hinjewadi,10,40,0,2,3235,19555,0,21.7613601236476,0.0,0
Swargate,Hinjewadi,11,40,0,0,3071,19469,0,22.822663627482907,0.0,1
Swargate,Hinjewadi,11,40,0,1,3254,26572,0,29.39741856177013,0.0,0
Swargate,Hinjewadi,11,40,0,2,3309,19555,0,21.274705349048048,0.0,0
Swargate,Hinjewadi,12,40,0,0,2997,19469,0,23.386186186186187,0.0,1
Swargate,Hinjewadi,12,40,0,1,3181,26572,0,30.072052813580637,0.0,0
Swargate,Hinjewadi,12,40,0,2,3228,19555,0,21.808550185873607,0.0,0
Swargate,Hinjewadi,13,40,0,0,2862,19469,0,24.48930817610063,0.0,1
Swargate,Hinjewadi,13,40,0,1,2988,23766,0,28.633734939759037,0.0,0
Swargate,Hinjewadi,13,40,0,2,3069,19555,0,22.93841642228739,0.0,0
Swargate,Hinjewadi,14,40,0,0,2871,19469,0,24.41253918495298,0.0,0
Swargate,Hinjewadi,14,40,0,1,2870,23766,0,29.811010452961668,0.0,1
Swargate,Hinjewadi,14,40,0,2,3255,19556,0,21.628755760368666,0.0,0
Swargate,Hinjewadi,15,40,0,0,2929,23766,0,29.21051553431205,0.0,1
Swargate,Hinjewadi,15,40,0,1,2979,19469,0,23.52749244712991,0.0,0
Swargate,Hinjewadi,15,40,0,2,3366,19556,0,20.915508021390373,0.0,0
Swargate,Hinjewadi,16,40,0,0,3158,23766,0,27.092336922102596,0.0,1
Swargate,Hinjewadi,16,40,0,1,3216,19469,0,21.793656716417917,0.0,0
Swargate,Hinjewadi,16,40,0,2,3362,19555,0,20.93932183224271,0.0,0
Swargate,Hinjewadi,17,40,0,0,3383,23578,0,25.09039314218149,0.0,1
Swargate,Hinjewadi,17,40,0,1,3493,19447,0,20.042713999427423,0.0,0
Swargate,Hinjewadi,17,40,0,2,3579,19532,0,19.6466051969824,0.0,0
Swargate,Hinjewadi,18,40,0,0,3465,19447,0,20.204675324675325,0.0,0
Swargate,Hinjewadi,18,40,0,1,3423,23630,0,24.85188431200701,0.0,1
Swargate,Hinjewadi,18,40,0,2,3542,19532,0,19.851835121400335,0.0,0
Swargate,Hinjewadi,19,40,0,0,3040,19447,0,23.02934210526316,0.0,1
Swargate,Hinjewadi,19,40,0,1,3173,23630,0,26.8099590293098,0.0,0
Swargate,Hinjewadi,19,40,0,2,3173,19532,0,22.16047904191617,0.0,0
Swargate,Hinjewadi,20,40,0,0,2584,19447,0,27.093343653250773,0.0,1
Swargate,Hinjewadi,20,40,0,1,2757,23630,0,30.855277475516864,0.0,0
